"id","name","createdOn","createdBy","etag","type","currentVersion","parentId","benefactorId","projectId","modifiedOn","modifiedBy","dataFileHandleId","dataFileSizeBytes","dataFileMD5Hex","dataFileConcreteType","dataFileBucket","dataFileKey"
"syn36509053","2-009_Malignant_Peripheral_Nerve_Sheath_Tumor.maf","1663389981203","3421893","2521924b-b2de-46d2-8b9a-08d984332a19","file","2","syn31668278","syn33397598","syn4939902","1665338537758","3423450","104048969","363334185","cb85d0daf1965fc28a86265386660e0f","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/bccb8917-4e45-4f2a-b346-6bc4971122bc/2-009_Malignant_Peripheral_Nerve_Sheath_Tumor.maf"
"syn36509054","2-002_Malignant_Peripheral_Nerve_Sheath_Tumor.maf","1663389981317","3421893","5adb439d-b582-467a-8009-5918ddfe5e6f","file","2","syn31668208","syn33397598","syn4939902","1665338537815","3423450","104048970","396976849","cfb28a0bba2c22e1ddc9c89329f8a4bc","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/8e138a8f-35c6-4d77-aaae-4db9510c455c/2-002_Malignant_Peripheral_Nerve_Sheath_Tumor.maf"
"syn36509091","2-010_Neurofibroma.maf","1663390033053","3421893","5564c44e-5b5f-4e77-9851-5073664a41b3","file","2","syn31668291","syn33397598","syn4939902","1665338537869","3423450","104049013","559831944","e3e7b475c9135a2cb77f3e11ac4ddd9f","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/dd49ad3b-7716-4939-9ccb-4d23c085a9c7/2-010_Neurofibroma.maf"
"syn36509096","2-026_Neurofibroma.maf","1663390043318","3421893","b9219c8d-eb79-481a-9d68-d52df32e384a","file","2","syn31668455","syn33397598","syn4939902","1665338537993","3423450","104100333","504687733","8808769dc648254e1c6f0fb384a6b543","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/0617205f-448d-4fe0-9897-793f52704326/2-026_Neurofibroma.maf"
"syn36509098","2-014_Neurofibroma.maf","1663390047444","3421893","8beae21e-c798-47ca-b8f7-a7f0a57261db","file","2","syn31668330","syn33397598","syn4939902","1665338538054","3423450","104049024","456594393","efa0d47c25c49a16499f30fde4f5f9c2","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/556ee5f6-5dac-41d2-8668-68ba31d8eda3/2-014_Neurofibroma.maf"
"syn36509100","2-010_Blood.maf","1663390051411","3421893","af2f339b-3632-4b08-9afb-8b36b13ccbf7","file","2","syn31668287","syn33397598","syn4939902","1665338538140","3423450","104049027","593768720","7275ed21d5ca38222eda480400935ec4","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/a6a4511d-374e-4dd8-ac13-9a574bb6601e/2-010_Blood.maf"
"syn36509101","2-026_Blood.maf","1663390051556","3421893","8aaec7d6-a743-4ec2-8ba3-053cef644c86","file","2","syn31668451","syn33397598","syn4939902","1665338538199","3423450","104099389","454897292","8f594f516ad67f6ec8cbd1541e7e5cfd","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/77fd4178-ec48-4f53-b136-c29adb7706a8/2-026_Blood.maf"
"syn36509102","2-012_Neurofibroma.maf","1663390051915","3421893","2efcb0aa-636d-4195-8e8c-fe91e0ddfd7c","file","2","syn31668304","syn33397598","syn4939902","1665338538255","3423450","104049029","605645772","aa83186756baf4bb7ba411e80f064bb1","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/799d77e4-1c7b-43f3-a653-7691d3171257/2-012_Neurofibroma.maf"
"syn36509104","2-019_Neurofibroma.maf","1663390052445","3421893","b31d009c-4885-460b-b84e-0b4f4963057f","file","2","syn31668391","syn33397598","syn4939902","1665338538309","3423450","104097842","569587203","da0ad5c1ecb561e47811ebc998943421","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/ad516c0b-6612-406b-bc8a-14479fb82a2d/2-019_Neurofibroma.maf"
"syn36509105","2-016_Blood.maf","1663390052552","3421893","572f1374-ec7f-4b79-ba44-d3a866618923","file","2","syn31668361","syn33397598","syn4939902","1665338538365","3423450","104049033","573158971","8462a6d02c61766be954a647c3a5d9e1","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/5d4435af-9c03-4b64-bc5e-6b7abe30bbfc/2-016_Blood.maf"
"syn36509106","2-015_Plexiform_Neurofibroma.maf","1663390052554","3421893","7a592af7-a32b-41b4-a1e3-42ef609537df","file","2","syn31668352","syn33397598","syn4939902","1665338538421","3423450","104049034","533031962","166a9a09c70305f917332cc4cc75eb95","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/04d11b23-0789-4678-a937-3453cf06c0f8/2-015_Plexiform_Neurofibroma.maf"
"syn36509109","2-004_Blood.maf","1663390055563","3421893","3e97a661-7e59-41d7-8b36-9dfe61823e27","file","2","syn31668217","syn33397598","syn4939902","1665338538475","3423450","104097843","583748036","8520db406df438b4b03ce60cdaf8fdc8","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/1e66aaf9-6d26-421f-b308-d4309118d1a7/2-004_Blood.maf"
"syn36509110","2-025_Neurofibroma.maf","1663390055933","3421893","d987a211-3d42-4c15-b75d-41ca927b1fd4","file","2","syn31668442","syn33397598","syn4939902","1665338538528","3423450","104049044","548173822","472bf21dd142b5755db5b9e975dfb0fa","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/74f243d9-e4d7-4862-b3b2-45203f89108f/2-025_Neurofibroma.maf"
"syn36509117","2-023_Plexiform_Neurofibroma.maf","1663390077769","3421893","bc9fd452-754d-4730-ab8e-4ab2f687b8f7","file","2","syn31668429","syn33397598","syn4939902","1665338538580","3423450","104049056","587531113","0428774da7986d4746090afda21400a3","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/a03d1f02-91ce-48ff-996c-19c38c42911e/2-023_Plexiform_Neurofibroma.maf"
"syn36509118","2-002_Blood.maf","1663390082598","3421893","397ea574-da94-4b6b-9c9a-402fdc3fff52","file","2","syn31668204","syn33397598","syn4939902","1665338538636","3423450","104049059","482627732","aa92aef16ab29806f6946463d172de8b","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/6c625e6c-ef56-4084-a264-01684db715ea/2-002_Blood.maf"
"syn36509123","2-017_Blood.maf","1663390086405","3421893","ea3714f1-3b6e-4a04-8b14-7c72563a04ad","file","2","syn31668374","syn33397598","syn4939902","1665338538696","3423450","104049065","510492039","0522fa84bd3b80f28fc72a1dd183b697","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/7978cd77-087b-407c-914a-80fae6ba2712/2-017_Blood.maf"
"syn36509124","2-001_Plexiform_Neurofibroma.maf","1663390086685","3421893","4ae83ec0-0474-4386-90f8-1e5e88346259","file","2","syn31668195","syn33397598","syn4939902","1665338538754","3423450","104049066","520303538","4aaaeec9a5ca254a1814e1539850cd6f","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/54f9aefe-6591-43b2-af76-e5dd2e82383c/2-001_Plexiform_Neurofibroma.maf"
"syn36509135","2-001_Blood.maf","1663390095498","3421893","4e2aac8d-7274-4c41-bd69-f1708706d410","file","2","syn31668191","syn33397598","syn4939902","1665338538859","3423450","104097870","558842653","e7dbfaba835e9a2a3025c19e7a66eb54","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/5e99c3dc-25d6-431d-996d-dc3df98aa449/2-001_Blood.maf"
"syn36509143","2-014_Blood.maf","1663390099032","3421893","1f74cd1a-8a84-4f5f-8f56-1b95e1354caf","file","2","syn31668326","syn33397598","syn4939902","1665338538917","3423450","104049085","523222505","8e87b97ba0537d71f1a79d64aaac56bf","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/e3f7b082-531a-4653-82dc-24952c3cfe0c/2-014_Blood.maf"
"syn36509149","2-005_Neurofibroma.maf","1663390104764","3421893","5a0c0a22-4f20-481d-93d1-9b673756cf6c","file","2","syn31668252","syn33397598","syn4939902","1665338539035","3423450","104097897","646016622","01aa86e64a4bd550e6a2b506a7bea825","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/3e990a10-74c7-486e-9588-a2e52db0cb53/2-005_Neurofibroma.maf"
"syn36509151","TWFE-2-002-20.maf","1663390109328","3421893","529a2abe-ac16-4741-8b9b-cccb4b826acd","file","2","syn31668560","syn33397598","syn4939902","1665338539093","3423450","104049096","317118358","13bc2a6d2affe9d4dc0fc71d291d03e4","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/6266f274-7140-4054-a6f5-a8d954e7a61f/TWFE-2-002-20.maf"
"syn36509164","2-006_Plexiform_Neurofibroma.maf","1663390131237","3421893","a17d0f49-5351-4a04-96c3-ba1a70ec5a92","file","2","syn31668265","syn33397598","syn4939902","1665338539314","3423450","104049115","748970836","6cc275d1f474cab3c1fc65fea0bfcd7a","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/07bf952f-362c-4eb0-b7c3-88b5470033c5/2-006_Plexiform_Neurofibroma.maf"
"syn36509173","2-031_Malignant_Peripheral_Nerve_Sheath_Tumor.maf","1663390148537","3421893","3df3e5d7-3cbd-4d9d-bb87-be72d6fdee09","file","2","syn31668492","syn33397598","syn4939902","1665338539534","3423450","104049129","593554127","056db0d2b99c59437fb837b97ba58adf","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/b87c0109-b1b5-4521-89e8-8e5be0f7883c/2-031_Malignant_Peripheral_Nerve_Sheath_Tumor.maf"
"syn36509181","2-006_Blood.maf","1663390165263","3421893","3e4a3e06-e8bd-4ed9-8133-a4645603fd9b","file","2","syn31668261","syn33397598","syn4939902","1665338539713","3423450","104097872","574117465","ac7ef07333d4b419daa3cc03fcf581cd","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/b9010318-0d2b-4842-98ab-b21d17106fca/2-006_Blood.maf"
"syn36509183","2-016_Neurofibroma.maf","1663390167362","3421893","626a2227-f808-47ed-95c7-898d0d493702","file","2","syn31668365","syn33397598","syn4939902","1665338539771","3423450","104049146","580990466","e8d221cd3558b01c387ec2bb77348683","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/9647c374-d209-4828-90e6-5e46edc23db8/2-016_Neurofibroma.maf"
"syn36509188","2-013_Plexiform_Neurofibroma.maf","1663390173605","3421893","7a948977-62a6-4f6c-a07d-4ec89a79b977","file","2","syn31668317","syn33397598","syn4939902","1665338539822","3423450","104049155","834139742","72e23662c8f9e42bb1886654b756fa02","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/e05e5a49-4c80-4659-a5fb-3ab9785965c8/2-013_Plexiform_Neurofibroma.maf"
"syn36509189","TWFE-2-060-7.maf","1663390174488","3421893","093c1c0b-73a2-4c83-be57-40d603356416","file","2","syn31668721","syn33397598","syn4939902","1665338539876","3423450","104097605","310695065","962031dcb8854568fd0cdde5d6603eb3","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/fac622d9-7f56-4cb8-8adf-c692bfb8279a/TWFE-2-060-7.maf"
"syn36509200","TWFE-2-002-30.maf","1663390194766","3421893","17319091-9c1c-47ff-ba8c-56a50692cf0b","file","2","syn31668569","syn33397598","syn4939902","1665338540041","3423450","104099890","282576373","ace218c7dbaef916bcd88ee2442349ee","org.sagebionetworks.repo.model.file.S3FileHandle","proddata.sagebase.org","3421893/0804612c-3153-49ba-b336-24496221e4bd/TWFE-2-002-30.maf"
