gene_id	gene_name	JH.2.085.F2983.F783D	JH.2.086.5EA11.494GE	JH.2.089.H8EBA.HH51C	JH.2.090.19D3F.G36F6	JH.2.091.CAA8H.GDFG1	JH.2.092.B4F11.2H1C1	JH.2.092.B52E5.BFCBA	JH.2.093.214AE.H5A8H	JH.2.094.5HA24.CC3H4	JH.2.100.19H33.94G2C	JH.2.104.51E2H.1G93A	JH.2.107.AGD39.1CH62	JH.2.111.G645D.6C5FF
ENSG00000000003.15	TSPAN6	176	259	196.999	134	231	195	198	63	327	175	282.999	318.001	193
ENSG00000000005.6	TNMD	2	1	0	3	0	2	1	0	3	2	0	2	5
ENSG00000000419.14	DPM1	218	278.999	247	429	229	232.998	280.999	196.999	299.001	216.001	249.001	461	238
ENSG00000000457.14	SCYL3	105.001	230	162	269	208	230	254	135	216	134	202.999	196	233.999
ENSG00000000460.17	C1orf112	80	128	117.999	86	155	115.999	167.999	85.999	174	122.999	196	172	155.999
ENSG00000000938.13	FGR	65.001	21.001	40	491.001	82	36	28	112.001	70	53	110.999	44	44
ENSG00000000971.17	CFH	6861.597	13348.144	4153.45	5442.42	1556.013	5177.125	6765.592	1921.475	8117.83	817.913	2432.757	1782.648	6379.194
ENSG00000001036.14	FUCA2	327	456	263	384	229	339	284	319	571.001	262	344	647	314
ENSG00000001084.13	GCLC	166	266.001	132	293.999	235	170.002	216	251	245.001	151.999	316.001	284	185
ENSG00000001167.15	NFYA	389	374	352	418	505	464	401	318	523	310	437	313	465.827
ENSG00000001460.18	STPG1	29	92.001	35.001	19	37.001	20	20	35.999	68	27	52	23	27
ENSG00000001461.17	NIPAL3	276	926	327	322.002	476.001	292	317	308	800	280	560.999	428.999	295
ENSG00000001497.18	LAS1L	291	513.002	271	420.001	534.001	460.001	309	422	473.999	293	486.001	332	443.999
ENSG00000001561.7	ENPP4	167	166	189	213	247	183	203	68	229	142	242	364	252
ENSG00000001617.12	SEMA3F	67	61	38	114	50	29	20	470	101	47	84	53.999	42
ENSG00000001626.17	CFTR	0	0	0	0	0	2	0	1	0	0	0	0	0
ENSG00000001629.10	ANKIB1	671	872	744	897	897	860	956	559	1254	617.001	914	979	888
ENSG00000001630.18	CYP51A1	563.7	568.861	462.425	630.281	389.414	283.394	285.112	474.584	633.653	529.047	399.142	504.612	510.133
ENSG00000001631.17	KRIT1	681.15	1111.156	945.383	1082.332	1007.898	598.838	1072.406	410.746	762.76	584.918	1062.368	920.467	946.614
ENSG00000002016.18	RAD52	197.06	210.001	151.001	93	233.999	212.449	169.12	96.362	181.135	190.001	211.088	76.57	195.279
ENSG00000002079.14	MYH16	0	1	0	0	3	1	1	1	0	1	0	0	1
ENSG00000002330.14	BAD	164	229.001	150.999	223.999	187	191	186.001	195	371	165	149.999	210	198
ENSG00000002549.13	LAP3	675.001	431	431	1683.999	566	349.001	384.001	532	684	431	750.999	1248.001	512
ENSG00000002586.20	CD99	856.864	1278.447	244.374	534.068	372.091	400.076	616.942	490.657	1005.026	374.702	349.991	694.862	967.074
ENSG00000002586.20_PAR_Y	CD99	281.136	1047.553	556.625	982.932	887.909	880.925	633.059	1040.341	999.973	257.298	638.009	561.137	564.924
ENSG00000002587.10	HS3ST1	65	114	79	37	21	67	41	55	51	64	23	23	97
ENSG00000002726.21	AOC1	0	4	0	19	2	11	9	38	0	2	1	2	10
ENSG00000002745.13	WNT16	1	1	0	7	1	0	0	97	21	0	0	1	1
ENSG00000002746.15	HECW1	16	29.001	3	5	3	5	8	31.999	5	4	2	3	7
ENSG00000002822.16	MAD1L1	222.947	195.999	218.915	279.219	304	272.884	149.065	326.545	256.889	267	174.811	237.395	238.688
ENSG00000002834.18	LASP1	1829.001	2052	1719.999	2262.999	2773	2818	1875	1798	3810	1684	2320	2482	1874.999
ENSG00000002919.15	SNX11	125	162.001	133	223	167.001	163	139	175.001	279	101.999	199.999	270.001	150
ENSG00000002933.9	TMEM176A	167.999	198	330	1002.001	1007	735.001	557	406	432.999	622.001	487.001	582.999	339
ENSG00000003056.8	M6PR	755	725.999	534.001	1433.001	839	709	694	787.999	920.999	502	927.001	1509	671
ENSG00000003096.14	KLHL13	267	205	207	112	172	143	168	66.001	324.001	92	218	154	202
ENSG00000003137.9	CYP26B1	560	95	406	363	72	240	292	600	971.999	99.999	66	31	684
ENSG00000003147.19	ICA1	51	46	54.001	125.001	105	48	59.001	69.001	95.001	74	87	132.001	60
ENSG00000003249.15	DBNDD1	20	121	13	20	35	4	10	11	67.999	37	30	24	6
ENSG00000003393.16	ALS2	1111.999	995.998	967.998	770.998	1086.998	862.003	938.001	627.998	1042.001	1084	1036	1086.001	992.001
ENSG00000003400.16	CASP10	333.001	163	277.001	680.999	286.167	126	165.999	305	285.001	164.164	329	433.001	275.001
ENSG00000003402.21	CFLAR	2632.747	2443.628	2375.406	4143.897	2907.013	1733.998	2418.998	2662.731	2677.729	1734.001	3147.987	2504.991	2462.999
ENSG00000003436.16	TFPI	1200	991.001	1190.001	2190.002	1062	990.999	1469	486.999	1935.999	485.999	935	1111	1189
ENSG00000003509.16	NDUFAF7	120.999	132.001	118	208.999	152.001	123	158.999	99	151.999	107	174.999	120	131
ENSG00000003756.17	RBM5	2254	2395.001	1640	2516.001	2500.001	2532.999	2277.001	1537.001	2622.001	1583.999	2501.001	1257.001	2175.004
ENSG00000003987.14	MTMR7	5	4	3	0	1	1	0	0	1	0	1	0	0
ENSG00000003989.18	SLC7A2	1153	633	1082	638	1026	1209	1222	719.999	3599	260	778.999	399	948
ENSG00000004059.11	ARF5	435.001	429.767	320.76	565.495	496.001	499.535	417.844	682.516	900.836	377.8	365.839	595.841	431.789
ENSG00000004139.14	SARM1	253.776	358.532	312	351	543.862	424.594	332.346	270.763	604	306.605	442.533	274	355
ENSG00000004142.12	POLDIP2	244	276	209	476	316	344	278	605	631	263	295	467	282
ENSG00000004399.13	PLXND1	1760.002	2289.001	1280.001	2305	2740	3056.001	2721	2058.001	3249.999	2381.002	2609.002	2296	2128.001
ENSG00000004455.18	AK2	769.987	1137.991	750.974	1364.962	1069.997	1079	818.826	1234.999	1276.916	703.982	1109.979	1327.96	1113.988
ENSG00000004468.13	CD38	195	55	124	612	98	33	70	23	128	69	171	354	21.001
ENSG00000004478.8	FKBP4	549	223	369	575	458.999	553.999	305	680.999	616	415	415	357	382
ENSG00000004487.18	KDM1A	848	980.001	595.002	992.999	697	760.999	736.002	821	1060.999	439.999	813.001	653.997	704.001
ENSG00000004534.15	RBM6	1086	990.999	895	1738.001	1422	1221.999	1003.998	742	1322.001	906.999	1521.001	680.999	1152
ENSG00000004660.15	CAMKK1	118	61	56	113	139	58	47	113	159	87	85	136	93
ENSG00000004700.16	RECQL	415.999	471	389	685	448	452	553	232	653.999	331.999	507.999	759.002	457
ENSG00000004766.17	VPS50	210	354	284.001	337.001	336.001	288	418.001	139.001	369.998	198.001	301.999	393.999	315.999
ENSG00000004776.13	HSPB6	37	57	20	63	20	8	24	60	22	22	8	4	44
