gene_id	gene_name	JH-2-009-HH11A-C47BD	JH-2-055-FC9GH-CG8EA	JH-2-079-CB92G-FG226	WU.487_pt	WU.536_pt	WU.561_pt	mn2_pt	mn3_pt
ENSG00000000003.15	TSPAN6	497	147	787	323	248	794	294	350.001
ENSG00000000005.6	TNMD	1	10	3155	12	428	31231	7	19
ENSG00000000419.14	DPM1	407.001	339.998	289	331.999	277.002	457	805.999	480
ENSG00000000457.14	SCYL3	256	215	246.999	160	198.999	193	142	148
ENSG00000000460.17	C1orf112	122	161.001	169	110.999	167.999	249.999	164	215
ENSG00000000938.13	FGR	218.001	411	16	10	80	9	81	8
ENSG00000000971.17	CFH	13735.423	8212.117	2980.402	3310.527	4266.73	6501.844	477.279	6499.575
ENSG00000001036.14	FUCA2	982	295	673	423	346	653	1105	132
ENSG00000001084.13	GCLC	329.001	227.999	568.001	243	187.999	300	198	146
ENSG00000001167.15	NFYA	450	354	761	377	393	1067.92	364	623
ENSG00000001460.18	STPG1	65	42.001	48	33	46	12	45	18.999
ENSG00000001461.17	NIPAL3	582.999	348.001	276	127.001	451	165	273.001	143
ENSG00000001497.18	LAS1L	466	348.998	450	257	334.002	516.001	441	507
ENSG00000001561.7	ENPP4	575	116	245	218	170	123	134	14
ENSG00000001617.12	SEMA3F	194.999	311.999	435.999	31	105	835	105	208
ENSG00000001626.17	CFTR	0	15	19	2	0	3	19	8
ENSG00000001629.10	ANKIB1	1408.999	915.999	1242	1117	884.001	1524	961.999	916
ENSG00000001630.18	CYP51A1	1273.779	345.924	643.801	434.502	517.449	402.442	1245.344	424.04
ENSG00000001631.17	KRIT1	746.261	1157.901	1092.443	693.428	955.127	1454.183	765.052	1323.015
ENSG00000002016.18	RAD52	157	185	157	141.383	181	236	189.041	195.139
ENSG00000002079.14	MYH16	2	6	1	2	3	1	10	0
ENSG00000002330.14	BAD	509.001	103.999	474.999	198	120	385	288.999	104
ENSG00000002549.13	LAP3	2275.999	1446.001	344	542.001	961	521	1341.999	1006
ENSG00000002586.20	CD99	1680.603	837.39	1459.592	560.306	300.633	2196.539	1235.23	343.722
ENSG00000002586.20_PAR_Y	CD99	966.397	335.609	690.409	1084.694	381.366	1614.459	1880.77	286.278
ENSG00000002587.10	HS3ST1	61	31	13	2	39	7	19	9
ENSG00000002726.21	AOC1	4	2	5	1	1	0	0	0
ENSG00000002745.13	WNT16	4	2	58	5	1	9	5	8
ENSG00000002746.15	HECW1	6	115.999	64.001	21	8	39	115	0
ENSG00000002822.16	MAD1L1	474	298.407	308.418	77.309	206.001	259.148	316.442	119
ENSG00000002834.18	LASP1	4727.001	2760.001	2574.001	2516.999	2304	2629.999	1842.999	1782
ENSG00000002919.15	SNX11	316	194	142	140.001	163	149.999	130	92
ENSG00000002933.9	TMEM176A	563	181.999	460.001	74.001	257	645.001	174	3
ENSG00000003056.8	M6PR	2042	1030	1209.001	821	857	922.001	1490.002	959.999
ENSG00000003096.14	KLHL13	573	131	232.001	479	294.001	188.999	9	147
ENSG00000003137.9	CYP26B1	1040	486	955	17	113	189.999	22	1
