"","external_gene_name","chromosome_name","description"
"1","MT-ND1","MT","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]"
"2","MT-ND2","MT","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]"
"3","MT-CO1","MT","mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]"
"4","MT-CO2","MT","mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]"
"5","MT-ATP8","MT","mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]"
"6","MT-ATP6","MT","mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]"
"7","MT-CO3","MT","mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]"
"8","MT-ND3","MT","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]"
"9","MT-ND4L","MT","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]"
"10","MT-ND4","MT","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]"
"11","MT-ND5","MT","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]"
"12","MT-ND6","MT","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]"
"13","MT-CYB","MT","mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]"
"14","","KI270711.1",""
"15","","KI270731.1",""
"16","","GL000213.1",""
"17","","KI270734.1","proline dehydrogenase 1"
"18","","KI270734.1",""
"19","","KI270713.1",""
"20","","KI270721.1",""
"21","","GL000218.1",""
"22","","KI270728.1",""
"23","","GL000194.1",""
"24","MAFIP","GL000194.1","MAFF interacting protein (pseudogene) [Source:HGNC Symbol;Acc:HGNC:31102]"
"25","","GL000195.1",""
"26","","GL000219.1",""
"27","","KI270726.1",""
"28","","GL000009.2",""
"29","PRAMEF11","HG1342_HG2282_PATCH","PRAME family member 11 [Source:HGNC Symbol;Acc:HGNC:14086]"
"30","HNRNPCL1","HG1342_HG2282_PATCH","heterogeneous nuclear ribonucleoprotein C like 1 [Source:HGNC Symbol;Acc:HGNC:29295]"
"31","PRAMEF2","HG1342_HG2282_PATCH","PRAME family member 2 [Source:HGNC Symbol;Acc:HGNC:28841]"
"32","PRAMEF4","HG1342_HG2282_PATCH","PRAME family member 4 [Source:HGNC Symbol;Acc:HGNC:31971]"
"33","PRAMEF10","HG1342_HG2282_PATCH","PRAME family member 10 [Source:HGNC Symbol;Acc:HGNC:27997]"
"34","PRAMEF7","HG1342_HG2282_PATCH","PRAME family member 7 [Source:HGNC Symbol;Acc:HGNC:28415]"
"35","PRAMEF6","HG1342_HG2282_PATCH","PRAME family member 6 [Source:HGNC Symbol;Acc:HGNC:30583]"
"36","PRAMEF27","HG1342_HG2282_PATCH","PRAME family member 27 [Source:HGNC Symbol;Acc:HGNC:51234]"
"37","HNRNPCL3","HG1342_HG2282_PATCH","heterogeneous nuclear ribonucleoprotein C like 3 [Source:HGNC Symbol;Acc:HGNC:51235]"
"38","PRAMEF25","HG1342_HG2282_PATCH","PRAME family member 25 [Source:HGNC Symbol;Acc:HGNC:49179]"
"39","HNRNPCL2","HG1342_HG2282_PATCH","heterogeneous nuclear ribonucleoprotein C like 2 [Source:HGNC Symbol;Acc:HGNC:48813]"
"40","PRAMEF26","HG1342_HG2282_PATCH","PRAME family member 26 [Source:HGNC Symbol;Acc:HGNC:49178]"
"41","HNRNPCL4","HG1342_HG2282_PATCH","heterogeneous nuclear ribonucleoprotein C like 4 [Source:HGNC Symbol;Acc:HGNC:51333]"
"42","PRAMEF9","HG1342_HG2282_PATCH","PRAME family member 9 [Source:HGNC Symbol;Acc:HGNC:27996]"
"43","PRAMEF13","HG1342_HG2282_PATCH","PRAME family member 13 [Source:HGNC Symbol;Acc:HGNC:13262]"
"44","PRAMEF18","HG1342_HG2282_PATCH","PRAME family member 18 [Source:HGNC Symbol;Acc:HGNC:30693]"
"45","PRAMEF5","HG1342_HG2282_PATCH","PRAME family member 5 [Source:HGNC Symbol;Acc:HGNC:27995]"
"46","PRAMEF8","HG1342_HG2282_PATCH","PRAME family member 8 [Source:HGNC Symbol;Acc:HGNC:24074]"
"47","PRAMEF33","HG1342_HG2282_PATCH","PRAME family member 33 [Source:HGNC Symbol;Acc:HGNC:49193]"
"48","OR9G4","HG151_NOVEL_TEST","olfactory receptor family 9 subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:15322]"
"49","OR5G3","HG151_NOVEL_TEST","olfactory receptor family 5 subfamily G member 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15287]"
"50","OR9G1","HG151_NOVEL_TEST","olfactory receptor family 9 subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:15319]"
"51","OR9G9","HG151_NOVEL_TEST","olfactory receptor family 9 subfamily G member 9 [Source:HGNC Symbol;Acc:HGNC:31940]"
"52","GRK1","HG1524_PATCH","G protein-coupled receptor kinase 1 [Source:HGNC Symbol;Acc:HGNC:10013]"
"53","TOLLIP","HG152_PATCH","toll interacting protein [Source:HGNC Symbol;Acc:HGNC:16476]"
"54","BRSK2","HG152_PATCH","BR serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:11405]"
"55","DUSP8","HG152_PATCH","dual specificity phosphatase 8 [Source:HGNC Symbol;Acc:HGNC:3074]"
"56","KRTAP5-1","HG152_PATCH","keratin associated protein 5-1 [Source:HGNC Symbol;Acc:HGNC:23596]"
"57","KRTAP5-2","HG152_PATCH","keratin associated protein 5-2 [Source:HGNC Symbol;Acc:HGNC:23597]"
"58","KRTAP5-3","HG152_PATCH","keratin associated protein 5-3 [Source:HGNC Symbol;Acc:HGNC:23598]"
"59","KRTAP5-4","HG152_PATCH","keratin associated protein 5-4 [Source:HGNC Symbol;Acc:HGNC:23599]"
"60","KRTAP5-5","HG152_PATCH","keratin associated protein 5-5 [Source:HGNC Symbol;Acc:HGNC:23601]"
"61","MOB2","HG152_PATCH","MOB kinase activator 2 [Source:HGNC Symbol;Acc:HGNC:24904]"
"62","PRY","Y","PTPN13 like Y-linked [Source:HGNC Symbol;Acc:HGNC:14024]"
"63","USP9Y","Y","ubiquitin specific peptidase 9 Y-linked [Source:HGNC Symbol;Acc:HGNC:12633]"
"64","TSPY8","HG1532_PATCH","testis specific protein Y-linked 8 [Source:HGNC Symbol;Acc:HGNC:37471]"
"65","TSPY4","HG1532_PATCH","testis specific protein Y-linked 4 [Source:HGNC Symbol;Acc:HGNC:37287]"
"66","TSPY9","HG1532_PATCH","testis specific protein Y-linked 9 [Source:HGNC Symbol;Acc:HGNC:37472]"
"67","PRY2","Y","PTPN13 like Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:21504]"
"68","EIF1AY","Y","eukaryotic translation initiation factor 1A Y-linked [Source:HGNC Symbol;Acc:HGNC:3252]"
"69","BPY2","Y","basic charge Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:13508]"
"70","TSPY10","Y","testis specific protein Y-linked 10 [Source:HGNC Symbol;Acc:HGNC:37473]"
"71","TSPY1","Y","testis specific protein Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:12381]"
"72","RBMY1D","Y","RNA binding motif protein Y-linked family 1 member D [Source:HGNC Symbol;Acc:HGNC:23915]"
"73","OR4C12","HG1708_PATCH","olfactory receptor family 4 subfamily C member 12 [Source:HGNC Symbol;Acc:HGNC:15168]"
"74","OR4C45","HG1708_PATCH","olfactory receptor family 4 subfamily C member 45 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:31270]"
"75","HSFY2","Y","heat shock transcription factor Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:23950]"
"76","KDM5D","Y","lysine demethylase 5D [Source:HGNC Symbol;Acc:HGNC:11115]"
